system_id,latitude,longitude,elevation_m,azimuth,tilt,dc_capacity_kW,mean_power_generation_kW,performance_ratio
10275,34.250459,-119.05317,210.5887756,225.0,15.0,10.0,3.567256205398177,0.3567256205398177
10277,40.765378,-73.45781,46.95667267,225.0,23.0,10.8,2.503434448367134,0.2317994859599198
10279,33.261748,-117.01027,508.2316284,180.0,16.0,8.928,2.9254063548418014,0.3276664823971551
10280,33.054671,-96.73506,207.5513306,270.0,32.0,4.59,1.1835657347684552,0.257857458555219
10281,32.961014,-117.1251,175.5689545,180.0,33.0,5.13,1.9840670428750737,0.38675770816278243
10282,33.086868,-96.74504,218.3148651,0.0,30.0,5.0,1.596829925716872,0.31936598514337444
10283,38.95211,-77.02097,59.87371445,180.0,1.0,3.0,0.8511481936146865,0.28371606453822884
10284,39.539556,-105.009739,1715.113281,135.0,18.5,4.2,1.2135249390284417,0.2889345092924861
10285,47.609222,-122.1155,54.10700989,90.0,18.0,17.885,2.8177943250524775,0.15755070310609323
10286,37.270543,-122.02305,125.7341232,0.0,1.0,6.5,1.7262532608149996,0.2655774247407692
10287,37.72374,-121.447131,21.59389496,180.0,30.0,3.2,1.0881163972909094,0.34003637415340915
10289,42.45644,-83.66673,274.92453,180.0,18.4,8.1,1.6758741933638128,0.2068980485634337
10291,32.899996,-117.20722,103.3576813,0.0,26.0,4.2,1.263328833928214,0.3007925795067176
10292,37.350091,-122.03602,53.89973831,270.0,11.0,4.6,1.2714336525029608,0.27639862010933935
10295,37.951672,-122.07317,15.62925816,225.0,15.0,5.75,2.344644173485987,0.40776420408451947
10297,42.482755,-71.313578,38.56748199,180.0,30.0,6.21,1.214623386325696,0.19559152758867893
10300,47.71828,-122.19702,53.8787384,225.0,1.0,9.99,1.7701615583285393,0.17719334918203597
10301,37.720931,-122.44241,50.7702179,0.0,35.0,4.0,1.0115473439863418,0.25288683599658546
10302,37.451688,-122.18385,23.15234184,225.0,21.0,5.025,1.358783686262346,0.2704047136840489
10303,40.853343,-73.20777,23.82232475,180.0,21.0,8.4,2.5901089003583384,0.30834629766170696
10304,32.960438,-117.166814,109.9640884,270.0,18.0,3.9,1.303123212550857,0.3341341570643223
10305,37.658898,-121.87149,112.1553192,180.0,1.0,9.75,2.87828387509045,0.2952086025733795
10306,30.284511,-81.47043,8.769668579,180.0,26.8,7.56,2.515039631672608,0.33267719995669415
10307,40.728901,-74.26821,64.63539124,180.0,20.0,6.1,1.6206874991081797,0.26568647526363603
10308,32.946776,-117.21918,60.7910614,180.0,22.5,7.92,2.162726324475932,0.27307150561564797
10309,37.527237,-121.9679,13.51549625,225.0,1.0,8.25,2.6146580638058348,0.316928250158283
10311,39.177383,-120.14607,1960.821899,135.0,25.0,6.25,1.8834156189333133,0.30134649902933014
10312,42.48281,-71.313578,38.71563721,180.0,31.0,6.21,1.5581298335167593,0.2509065754455329
10314,38.931312,-76.65248,41.55630112,90.0,35.0,26.6,2.742145055914814,0.1030881599967975
10315,32.866313,-116.965089,159.6876221,180.0,30.0,9.6,3.0719705699643893,0.31999693437129056
10316,33.115157,-117.298608,79.16869354,225.0,18.0,4.8,2.0489528558516383,0.42686517830242465
10318,30.608471,-90.92758,23.25873947,180.0,30.5,7.0,2.0228626540104275,0.28898037914434677
10319,38.808884,-90.85922,198.1597137,225.0,26.5,10.07,2.192033815762928,0.2176796242068449
10322,38.524066,-90.2895,160.2131348,180.0,33.69,6.1,1.6873505201781342,0.27661483937346465
10325,35.474913,-120.676,298.7670593,0.0,1.0,5.565,2.211487766103633,0.3973922311057741
10326,41.086894,-111.9271,1447.435303,180.0,30.0,6.325,1.9246176219053983,0.30428737105223685
10327,28.543025,-81.184531,22.75267982,225.0,28.0,10.0,2.3221773035391196,0.23221773035391197
